,ENSG_ID,ENSG_start_bp,ENSG_end_bp,ENSG_chromosome,ENSG_type,HGNC_symbol,ENSMUSG_ID,ENSMUSG_start_bp,ENSMUSG_end_bp,ENSMUSG_chromosome,ENSMUSG_type,MGI_symbol
6069,ENSG00000164002,40508741,40516038,1,protein_coding,EXO5,ENSMUSG00000028629,120778393,120782214,4,protein_coding,Exo5
9207,ENSG00000090989,55853648,55905086,4,protein_coding,EXOC1,ENSMUSG00000036435,76677158,76718141,5,protein_coding,Exoc1
2736,ENSG00000112685,485154,693139,6,protein_coding,EXOC2,ENSMUSG00000021357,30997902,31158076,13,protein_coding,Exoc2
8510,ENSG00000180104,443175,471937,5,protein_coding,EXOC3,ENSMUSG00000034152,74317607,74356851,13,protein_coding,Exoc3
11350,ENSG00000179044,67184379,67190185,16,protein_coding,EXOC3L1,ENSMUSG00000043251,106016556,106022733,8,protein_coding,Exoc3l
1219,ENSG00000283632,45212370,45245407,19,protein_coding,EXOC3L2,ENSMUSG00000011263,19197256,19230687,7,protein_coding,Exoc3l2
2710,ENSG00000205436,103094725,103110559,14,protein_coding,EXOC3L4,ENSMUSG00000021280,111383451,111398112,12,protein_coding,Exoc3l4
6702,ENSG00000131558,133253073,134066589,7,protein_coding,EXOC4,ENSMUSG00000029763,33226020,33950914,6,protein_coding,Exoc4
14008,ENSG00000070367,57200507,57268905,14,protein_coding,EXOC5,ENSMUSG00000061244,49241547,49304110,14,protein_coding,Exoc5
13178,ENSG00000138190,92826831,93059493,10,protein_coding,EXOC6,ENSMUSG00000053799,37509327,37672507,19,protein_coding,Exoc6
8406,ENSG00000144036,72175984,72826041,2,protein_coding,EXOC6B,ENSMUSG00000033769,84595469,85046495,6,protein_coding,Exoc6b
2457,ENSG00000182473,76081016,76121576,17,protein_coding,EXOC7,ENSMUSG00000020792,116178827,116198059,11,protein_coding,Exoc7
14954,ENSG00000116903,231332753,231337852,1,protein_coding,EXOC8,ENSMUSG00000074030,125619847,125624444,8,protein_coding,Exoc8
11270,ENSG00000157036,38496127,38542161,3,protein_coding,EXOG,ENSMUSG00000042787,119274009,119294583,9,protein_coding,Exog
8576,ENSG00000171311,97435909,97446017,10,protein_coding,EXOSC1,ENSMUSG00000034321,41910731,41921862,19,protein_coding,Exosc1
1586,ENSG00000171824,11066618,11099869,1,protein_coding,EXOSC10,ENSMUSG00000017264,148642886,148666858,4,protein_coding,Exosc10
10224,ENSG00000130713,130693721,130707288,9,protein_coding,EXOSC2,ENSMUSG00000039356,31560727,31571361,2,protein_coding,Exosc2
5899,ENSG00000107371,37759234,37832117,9,protein_coding,EXOSC3,ENSMUSG00000028322,45316613,45342732,4,protein_coding,Exosc3
8554,ENSG00000178896,144078648,144080648,8,protein_coding,EXOSC4,ENSMUSG00000034259,76211597,76214877,15,protein_coding,Exosc4
14011,ENSG00000077348,41386371,41397362,19,protein_coding,EXOSC5,ENSMUSG00000061286,25358589,25370793,7,protein_coding,Exosc5
15693,ENSG00000223496,70246778,70251940,16,protein_coding,EXOSC6,ENSMUSG00000109941,111782971,111784296,8,protein_coding,Exosc6
4609,ENSG00000075914,44975241,45036066,3,protein_coding,EXOSC7,ENSMUSG00000025785,122942280,122965194,9,protein_coding,Exosc7
5613,ENSG00000120699,36998816,37025881,13,protein_coding,EXOSC8,ENSMUSG00000027752,54636099,54642814,3,protein_coding,Exosc8
5598,ENSG00000123737,121801318,121817021,4,protein_coding,EXOSC9,ENSMUSG00000027714,36606755,36619876,3,protein_coding,Exosc9
8652,ENSG00000110723,108505435,108593768,11,protein_coding,EXPH5,ENSMUSG00000034584,53212970,53288814,9,protein_coding,Exph5
14055,ENSG00000182197,117794490,118111826,8,protein_coding,EXT1,ENSMUSG00000061731,52927434,53209555,15,protein_coding,Ext1
5313,ENSG00000151348,44095648,44251962,11,protein_coding,EXT2,ENSMUSG00000027198,93491373,93652913,2,protein_coding,Ext2
6190,ENSG00000158008,26019884,26036464,1,protein_coding,EXTL1,ENSMUSG00000028838,134083683,134111161,4,protein_coding,Extl1
5716,ENSG00000162694,100872372,100895179,1,protein_coding,EXTL2,ENSMUSG00000027963,115801111,115822666,3,protein_coding,Extl2
3036,ENSG00000012232,28600469,28755599,8,protein_coding,EXTL3,ENSMUSG00000021978,65289509,65387304,14,protein_coding,Extl3
4668,ENSG00000104313,71197433,71592025,8,protein_coding,EYA1,ENSMUSG00000025932,14239178,14380459,1,protein_coding,Eya1
1667,ENSG00000064655,46894624,47188844,20,protein_coding,EYA2,ENSMUSG00000017897,165436952,165613647,2,protein_coding,Eya2
6221,ENSG00000158161,27970344,28088637,1,protein_coding,EYA3,ENSMUSG00000028886,132366298,132452076,4,protein_coding,Eya3
1185,ENSG00000112319,133240514,133532128,6,protein_coding,EYA4,ENSMUSG00000010461,22978862,23226684,10,protein_coding,Eya4
965,ENSG00000108799,42700275,42745049,17,protein_coding,EZH1,ENSMUSG00000006920,101081941,101117289,11,protein_coding,Ezh1
6670,ENSG00000106462,148807257,148884321,7,protein_coding,EZH2,ENSMUSG00000029687,47507073,47572275,6,protein_coding,Ezh2
12989,ENSG00000092820,158765741,158819368,6,protein_coding,EZR,ENSMUSG00000052397,7005440,7050183,17,protein_coding,Ezr
7427,ENSG00000126218,113122799,113149529,13,protein_coding,F10,ENSMUSG00000031444,13087308,13106676,8,protein_coding,F10
7542,ENSG00000088926,186266189,186289681,4,protein_coding,F11,ENSMUSG00000031645,45694211,45715068,8,protein_coding,F11
9810,ENSG00000158769,160995211,161021343,1,protein_coding,F11R,ENSMUSG00000038235,171265103,171292171,1,protein_coding,F11r
2796,ENSG00000131187,177402141,177409564,5,protein_coding,F12,ENSMUSG00000021492,55565771,55574606,13,protein_coding,F12
10136,ENSG00000124491,6144084,6321013,6,protein_coding,F13A1,ENSMUSG00000039109,37051152,37234220,13,protein_coding,F13a1
4888,ENSG00000143278,197038741,197067260,1,protein_coding,F13B,ENSMUSG00000026368,139429440,139451490,1,protein_coding,F13b
5345,ENSG00000180210,46719196,46739506,11,protein_coding,F2,ENSMUSG00000027249,91455665,91466759,2,protein_coding,F2
12296,ENSG00000181104,76716126,76735770,5,protein_coding,F2R,ENSMUSG00000048376,95738311,95754995,13,protein_coding,F2r
2884,ENSG00000164251,76818933,76835315,5,protein_coding,F2RL1,ENSMUSG00000021678,95648240,95661735,13,protein_coding,F2rl1
2882,ENSG00000164220,76615482,76623413,5,protein_coding,F2RL2,ENSMUSG00000021675,95833361,95839247,13,protein_coding,F2rl2
12619,ENSG00000127533,16888999,16892606,19,protein_coding,F2RL3,ENSMUSG00000050147,73488508,73490502,8,protein_coding,F2rl3
5808,ENSG00000117525,94529173,94541759,1,protein_coding,F3,ENSMUSG00000028128,121517186,121528697,3,protein_coding,F3
4995,ENSG00000198734,169511951,169586588,1,protein_coding,F5,ENSMUSG00000026579,163979407,164047846,1,protein_coding,F5
7426,ENSG00000057593,113105788,113120685,13,protein_coding,F7,ENSMUSG00000031443,13076034,13085809,8,protein_coding,F7
7315,ENSG00000185010,154835788,155026940,X,protein_coding,F8,ENSMUSG00000031196,74216321,74426221,X,protein_coding,F8
7284,ENSG00000101981,139530739,139563459,X,protein_coding,F9,ENSMUSG00000031138,59044824,59076119,X,protein_coding,F9
8357,ENSG00000103089,74712955,74774831,16,protein_coding,FA2H,ENSMUSG00000033579,112071767,112120456,8,protein_coding,Fa2h
8522,ENSG00000117480,46394317,46413848,1,protein_coding,FAAH,ENSMUSG00000034171,115824342,115875123,4,protein_coding,Faah
4456,ENSG00000185504,81539885,81553961,17,protein_coding,FAAP100,ENSMUSG00000025384,120259881,120269590,11,protein_coding,Faap100
14910,ENSG00000162585,2184461,2212720,1,protein_coding,FAAP20,ENSMUSG00000073684,155334259,155341144,4,protein_coding,Faap20
6992,ENSG00000131944,32972209,32978229,19,protein_coding,FAAP24,ENSMUSG00000030493,35091577,35096261,7,protein_coding,Faap24
13255,ENSG00000163586,88122982,88128062,2,protein_coding,FABP1,ENSMUSG00000054422,71176811,71182007,6,protein_coding,Fabp1
5504,ENSG00000197416,81524981,81590139,8,protein_coding,FABP12,ENSMUSG00000027530,10309269,10366243,3,protein_coding,Fabp12
3613,ENSG00000145384,119317250,119322138,4,protein_coding,FABP2,ENSMUSG00000023057,122688721,122693155,3,protein_coding,Fabp2
6153,ENSG00000121769,31365253,31376850,1,protein_coding,FABP3,ENSMUSG00000028773,130202388,130209256,4,protein_coding,Fabp3
14134,ENSG00000170323,81478419,81483236,8,protein_coding,FABP4,ENSMUSG00000062515,10269148,10273636,3,protein_coding,Fabp4
5506,ENSG00000164687,81280536,81284777,8,protein_coding,FABP5,ENSMUSG00000027533,10077608,10081667,3,protein_coding,Fabp5
2246,ENSG00000170231,160187367,160238735,5,protein_coding,FABP6,ENSMUSG00000020405,43486876,43492367,11,protein_coding,Fabp6
1963,ENSG00000164434,122779716,122784074,6,protein_coding,FABP7,ENSMUSG00000019874,57660977,57664546,10,protein_coding,Fabp7
7261,ENSG00000168040,70203296,70207390,11,protein_coding,FADD,ENSMUSG00000031077,144131055,144136200,7,protein_coding,Fadd
1194,ENSG00000149485,61799627,61829318,11,protein_coding,FADS1,ENSMUSG00000010663,10160252,10174241,19,protein_coding,Fads1
4100,ENSG00000134824,61792980,61867354,11,protein_coding,FADS2,ENSMUSG00000024665,10040129,10079110,19,protein_coding,Fads2
4099,ENSG00000221968,61873519,61892051,11,protein_coding,FADS3,ENSMUSG00000024664,10018933,10037474,19,protein_coding,Fads3
11632,ENSG00000172782,74877302,74893781,17,protein_coding,FADS6,ENSMUSG00000044788,115170448,115188489,11,protein_coding,Fads6
1188,ENSG00000185104,50437028,50960267,1,protein_coding,FAF1,ENSMUSG00000010517,109533785,109821157,4,protein_coding,Faf1
4638,ENSG00000113194,176447628,176510074,5,protein_coding,FAF2,ENSMUSG00000025873,54769597,54811876,13,protein_coding,Faf2
7063,ENSG00000103876,80152490,80186946,15,protein_coding,FAH,ENSMUSG00000030630,84234367,84255930,7,protein_coding,Fah
11729,ENSG00000180185,1826941,1840207,16,protein_coding,FAHD1,ENSMUSG00000045316,25067866,25069338,17,protein_coding,Fahd1
5418,ENSG00000115042,95402708,95416616,2,protein_coding,FAHD2A,ENSMUSG00000027371,127278135,127286485,2,protein_coding,Fahd2a
7999,ENSG00000158234,138608606,138633376,3,protein_coding,FAIM,ENSMUSG00000032463,98868426,98884074,9,protein_coding,Faim
3587,ENSG00000135472,49866896,49904217,12,protein_coding,FAIM2,ENSMUSG00000023011,99394893,99426046,15,protein_coding,Faim2
10154,ENSG00000167106,127940582,127980989,9,protein_coding,FAM102A,ENSMUSG00000039157,32425344,32459768,2,protein_coding,Fam102a
10537,ENSG00000162636,108560089,108644900,1,protein_coding,FAM102B,ENSMUSG00000040339,108878313,108934923,3,protein_coding,Fam102b
10917,ENSG00000182518,55143102,55161310,X,protein_coding,FAM104B,ENSMUSG00000041629,113552145,113574981,11,protein_coding,Fam104a
2927,ENSG00000168309,58564117,58627610,3,protein_coding,FAM107A,ENSMUSG00000021750,14151750,14173499,14,protein_coding,Fam107a
5044,ENSG00000065809,14518557,14774897,10,protein_coding,FAM107B,ENSMUSG00000026655,3571525,3783179,2,protein_coding,Fam107b
5466,ENSG00000125898,833715,857463,20,protein_coding,FAM110A,ENSMUSG00000027459,151811318,151822139,2,protein_coding,Fam110a
12428,ENSG00000169122,57994523,58204279,8,protein_coding,FAM110B,ENSMUSG00000049119,5644090,6108223,4,protein_coding,Fam110b
9125,ENSG00000184731,38814,46870,2,protein_coding,FAM110C,ENSMUSG00000036136,31123860,31130250,12,protein_coding,Fam110c
12609,ENSG00000197245,26159079,26163962,1,protein_coding,FAM110D,ENSMUSG00000050105,133978421,133981417,4,protein_coding,Fam110d
4112,ENSG00000166801,59142748,59155039,11,protein_coding,FAM111A,ENSMUSG00000024691,12523104,12567132,19,protein_coding,Fam111a
6400,ENSG00000197712,38867677,38945739,4,protein_coding,FAM114A1,ENSMUSG00000029185,65127414,65199229,5,protein_coding,Fam114a1
2305,ENSG00000055147,153990148,154038936,5,protein_coding,FAM114A2,ENSMUSG00000020523,57373819,57409443,11,protein_coding,Fam114a2
10065,ENSG00000121104,49710332,49789180,17,protein_coding,FAM117A,ENSMUSG00000038893,95227844,95272698,11,protein_coding,Fam117a
10767,ENSG00000138439,202634969,202769757,2,protein_coding,FAM117B,ENSMUSG00000041040,59952165,60024505,1,protein_coding,Fam117b
3286,ENSG00000100376,45308968,45341955,22,protein_coding,FAM118A,ENSMUSG00000022434,84913149,84947031,15,protein_coding,Fam118a
12679,ENSG00000197798,126211724,126262984,11,protein_coding,FAM118B,ENSMUSG00000050471,35128261,35179101,9,protein_coding,Fam118b
9719,ENSG00000048828,93451685,93566112,9,protein_coding,FAM120A,ENSMUSG00000038014,49032695,49121493,13,protein_coding,Fam120a
1351,ENSG00000112584,170290703,170407067,6,protein_coding,FAM120B,ENSMUSG00000014763,15616464,15653845,17,protein_coding,Fam120b
4403,ENSG00000184083,54068324,54183281,X,protein_coding,FAM120C,ENSMUSG00000025262,150127171,150254838,X,protein_coding,Fam120c
15074,ENSG00000187866,68780065,68785566,9,protein_coding,PABIR1,ENSMUSG00000074922,24453866,24454720,19,protein_coding,Fam122a
9087,ENSG00000156504,134769566,134797232,X,protein_coding,PABIR2,ENSMUSG00000036022,52332292,52358682,X,protein_coding,Fam122b
9085,ENSG00000156500,134796395,134854835,X,protein_coding,PABIR3,ENSMUSG00000036013,52362301,52420062,X,protein_coding,Fam122c
8847,ENSG00000150510,51222334,51284239,13,protein_coding,FAM124A,ENSMUSG00000035184,62793186,62845935,14,protein_coding,Fam124a
11347,ENSG00000124019,224378698,224402107,2,protein_coding,FAM124B,ENSMUSG00000043230,80176423,80196190,1,protein_coding,Fam124b
6287,ENSG00000122591,22889371,23014130,7,protein_coding,FAM126A,ENSMUSG00000028995,24120274,24235688,5,protein_coding,Fam126a
9780,ENSG00000155744,200973718,201071671,2,protein_coding,FAM126B,ENSMUSG00000038174,58561965,58625482,1,protein_coding,Fam126b
12737,ENSG00000175182,184335926,184348421,3,protein_coding,FAM131A,ENSMUSG00000050821,20511991,20521798,16,protein_coding,Fam131a
6746,ENSG00000159784,143353400,143362770,7,protein_coding,FAM131B,ENSMUSG00000029861,42292246,42301577,6,protein_coding,Fam131b
868,ENSG00000185519,16057769,16073651,1,protein_coding,FAM131C,ENSMUSG00000006218,141095531,141111486,4,protein_coding,Fam131c
13722,ENSG00000234545,92560758,92590393,7,protein_coding,FAM133B,ENSMUSG00000058503,3593833,3620238,5,protein_coding,Fam133b
4773,ENSG00000082269,70412941,70561174,6,protein_coding,FAM135A,ENSMUSG00000026153,24050174,24139422,1,protein_coding,Fam135a
9304,ENSG00000147724,138130023,138497261,8,protein_coding,FAM135B,ENSMUSG00000036800,71303458,71599687,15,protein_coding,Fam135b
13631,ENSG00000035141,70295975,70302090,2,protein_coding,FAM136A,ENSMUSG00000057497,86342628,86347040,6,protein_coding,Fam136a
9615,ENSG00000138640,88725955,89111398,4,protein_coding,FAM13A,ENSMUSG00000037709,58909075,59001534,6,protein_coding,Fam13a
9224,ENSG00000031003,137937960,138051961,5,protein_coding,FAM13B,ENSMUSG00000036501,34575404,34639884,18,protein_coding,Fam13b
11353,ENSG00000148541,59246130,59363181,10,protein_coding,FAM13C,ENSMUSG00000043259,70276311,70394566,10,protein_coding,Fam13c
14612,ENSG00000109794,186104419,186175337,4,protein_coding,FAM149A,ENSMUSG00000070044,45789754,45835328,8,protein_coding,Fam149a
10294,ENSG00000138286,73168119,73244504,10,protein_coding,FAM149B1,ENSMUSG00000039599,20398230,20433559,14,protein_coding,Fam149b
8751,ENSG00000162391,54609181,54623556,1,protein_coding,FAM151A,ENSMUSG00000034871,106591086,106605489,4,protein_coding,Fam151a
8582,ENSG00000152380,80487969,80542563,5,protein_coding,FAM151B,ENSMUSG00000034334,92586133,92620523,13,protein_coding,Fam151b
15266,ENSG00000204442,107163510,107867496,13,protein_coding,NALF1,ENSMUSG00000079157,9255902,9821161,8,protein_coding,Fam155a
12775,ENSG00000164142,151409176,151670503,4,protein_coding,FHIP1A,ENSMUSG00000051000,85567368,85724598,3,protein_coding,Fam160a1
11572,ENSG00000051009,6211345,6234711,11,protein_coding,FHIP1B,ENSMUSG00000044465,105020418,105049261,7,protein_coding,Fam160a2
8332,ENSG00000151553,114821744,114899832,10,protein_coding,FHIP2A,ENSMUSG00000033478,57349112,57378018,19,protein_coding,Fam160b1
3098,ENSG00000158863,22089150,22104911,8,protein_coding,FHIP2B,ENSMUSG00000022095,70820736,70837275,14,protein_coding,Fam160b2
12558,ENSG00000170264,61824848,61854143,2,protein_coding,FAM161A,ENSMUSG00000049811,22957531,22980788,11,protein_coding,Fam161a
2677,ENSG00000156050,73931501,73950414,14,protein_coding,FAM161B,ENSMUSG00000021234,84392083,84408607,12,protein_coding,Fam161b
587,ENSG00000114023,122384161,122412334,3,protein_coding,FAM162A,ENSMUSG00000003955,35864131,35891964,16,protein_coding,Fam162a
1982,ENSG00000183807,116752197,116765719,6,protein_coding,FAM162B,ENSMUSG00000019909,51461512,51466613,10,protein_coding,Fam162b
1434,ENSG00000143340,179743291,179816198,1,protein_coding,FAM163A,ENSMUSG00000015484,155951712,156032596,1,protein_coding,Fam163a
1101,ENSG00000196990,133577081,133609389,9,protein_coding,FAM163B,ENSMUSG00000009216,27000392,27032503,2,protein_coding,Fam163b
5222,ENSG00000188163,137243584,137247770,9,protein_coding,FAM166A,ENSMUSG00000026969,25108757,25112292,2,protein_coding,Fam166a
11271,ENSG00000215187,35561831,35563899,9,protein_coding,FAM166B,ENSMUSG00000042788,43427019,43429134,4,protein_coding,Fam166b
6398,ENSG00000173557,26562585,26579532,2,protein_coding,FAM166C,ENSMUSG00000029182,30623391,30641432,5,protein_coding,Fam166c
8819,ENSG00000154319,11421476,11475908,8,protein_coding,FAM167A,ENSMUSG00000035095,63673843,63702947,14,protein_coding,Fam167a
12681,ENSG00000183615,32247222,32248856,1,protein_coding,FAM167B,ENSMUSG00000050493,129470608,129472342,4,protein_coding,Fam167b
6545,ENSG00000054965,73400487,73598189,11,protein_coding,FAM168A,ENSMUSG00000029461,100355842,100490863,7,protein_coding,Fam168a
9557,ENSG00000152102,131047876,131093460,2,protein_coding,FAM168B,ENSMUSG00000037503,34852300,34882146,1,protein_coding,Fam168b
10976,ENSG00000198780,74777574,74866966,5,protein_coding,FAM169A,ENSMUSG00000041817,97203794,97267521,13,protein_coding,Fam169a
8923,ENSG00000164334,119629559,119635822,5,protein_coding,FAM170A,ENSMUSG00000035420,50411436,50416087,18,protein_coding,Fam170a
15162,ENSG00000172538,49131154,49134021,10,protein_coding,FAM170B,ENSMUSG00000078127,32555919,32558746,14,protein_coding,Fam170b
12686,ENSG00000148468,15211643,15371289,10,protein_coding,FAM171A1,ENSMUSG00000050530,3115261,3228843,2,protein_coding,Fam171a1
8688,ENSG00000161682,44353215,44363853,17,protein_coding,FAM171A2,ENSMUSG00000034685,102327807,102338508,11,protein_coding,Fam171a2
12301,ENSG00000144369,186694060,186765959,2,protein_coding,FAM171B,ENSMUSG00000048388,83642980,83713830,2,protein_coding,Fam171b
14302,ENSG00000113391,93617725,94111699,5,protein_coding,FAM172A,ENSMUSG00000064138,77850152,78314354,13,protein_coding,Fam172a
12803,ENSG00000174132,100535374,100586741,5,protein_coding,FAM174A,ENSMUSG00000051185,95241348,95263009,1,protein_coding,Fam174a
15215,ENSG00000185442,92617448,92809884,15,protein_coding,FAM174B,ENSMUSG00000078670,73390050,73426667,7,protein_coding,Fam174b
8972,ENSG00000228300,1275530,1279244,19,protein_coding,FAM174C,ENSMUSG00000035595,80008778,80010980,10,protein_coding,Fam174c
11910,ENSG00000168754,96875882,96986580,2,protein_coding,FAM178B,ENSMUSG00000046337,36601773,36722264,1,protein_coding,Fam178b
12117,ENSG00000189320,135728348,135748813,7,protein_coding,FAM180A,ENSMUSG00000047420,35289603,35303076,6,protein_coding,Fam180a
15583,ENSG00000140067,93918894,93929608,14,protein_coding,FAM181A,ENSMUSG00000096753,103277234,103283324,12,protein_coding,Fam181a
12871,ENSG00000182103,82729940,82733864,11,protein_coding,FAM181B,ENSMUSG00000051515,92729073,92731074,7,protein_coding,Fam181b
12434,ENSG00000186973,43145153,43156396,1,protein_coding,FAM183A,ENSMUSG00000049154,58683623,58692786,11,protein_coding,Fam183b
1952,ENSG00000111879,118959763,119149387,6,protein_coding,FAM184A,ENSMUSG00000019856,53509241,53627219,10,protein_coding,Fam184a
12081,ENSG00000222011,102748971,102809225,7,protein_coding,FAM185A,ENSMUSG00000047221,21629956,21687122,5,protein_coding,Fam185a
11738,ENSG00000185958,50326230,50396622,12,protein_coding,FAM186A,ENSMUSG00000045350,99816229,99864942,15,protein_coding,Fam186a
15236,ENSG00000135436,49582885,49605639,12,protein_coding,FAM186B,ENSMUSG00000078907,99168899,99193769,15,protein_coding,Fam186b
12002,ENSG00000177558,35224800,35228739,19,protein_coding,FAM187B,ENSMUSG00000046826,30673215,30689151,7,protein_coding,Fam187b
7006,ENSG00000104059,29120252,29570979,15,protein_coding,FAM189A1,ENSMUSG00000030518,64405839,64806318,7,protein_coding,Fam189a1
14773,ENSG00000135063,69324567,69392558,9,protein_coding,FAM189A2,ENSMUSG00000071604,23950114,24008383,19,protein_coding,Fam189a2
8099,ENSG00000160767,155247205,155255483,1,protein_coding,FAM189B,ENSMUSG00000032657,89090450,89096602,3,protein_coding,Fam189b
9453,ENSG00000125386,2536647,2732573,4,protein_coding,FAM193A,ENSMUSG00000037210,34527277,34643800,5,protein_coding,Fam193a
2799,ENSG00000146067,177519789,177554563,5,protein_coding,FAM193B,ENSMUSG00000021495,55687129,55718933,13,protein_coding,Fam193b
11205,ENSG00000123575,104166453,104195902,X,protein_coding,FAM199X,ENSMUSG00000042595,135950343,135983252,X,protein_coding,Fam199x
13665,ENSG00000165669,118297925,118342328,10,protein_coding,FAM204A,ENSMUSG00000057858,60187018,60215133,19,protein_coding,Fam204a
8192,ENSG00000160256,44940012,44976989,21,protein_coding,SLX9,ENSMUSG00000032977,77322495,77351619,10,protein_coding,Fam207a
2353,ENSG00000108950,68535113,68601367,17,protein_coding,FAM20A,ENSMUSG00000020614,109560575,109613105,11,protein_coding,Fam20a
8351,ENSG00000116199,179025804,179076567,1,protein_coding,FAM20B,ENSMUSG00000033557,156506102,156546656,1,protein_coding,Fam20b
4627,ENSG00000177706,192571,260772,7,protein_coding,FAM20C,ENSMUSG00000025854,138740269,138795832,5,protein_coding,Fam20c
9758,ENSG00000177150,13663347,13726663,18,protein_coding,FAM210A,ENSMUSG00000038121,68393258,68433404,18,protein_coding,Fam210a
5485,ENSG00000124098,56358974,56368663,20,protein_coding,FAM210B,ENSMUSG00000027495,172187485,172197669,2,protein_coding,Fam210b
8748,ENSG00000047346,52581317,52709817,15,protein_coding,FAM214A,ENSMUSG00000034858,74860166,74939750,9,protein_coding,Fam214a
9082,ENSG00000005238,35104112,35116341,9,protein_coding,FAM214B,ENSMUSG00000036002,43032414,43046220,4,protein_coding,Fam214b
6547,ENSG00000204856,110468415,110490385,12,protein_coding,FAM216A,ENSMUSG00000029463,122502643,122510427,5,protein_coding,Fam216a
11787,ENSG00000179813,42781550,42791549,13,protein_coding,FAM216B,ENSMUSG00000045655,78318461,78326447,14,protein_coding,Fam216b
2766,ENSG00000145975,4049434,4087344,6,protein_coding,FAM217A,ENSMUSG00000021414,35093943,35108293,13,protein_coding,Fam217a
14650,ENSG00000196227,59933764,59948680,20,protein_coding,FAM217B,ENSMUSG00000070476,178056317,178066221,2,protein_coding,Fam217b
5965,ENSG00000164970,34398184,34458570,9,protein_coding,FAM219A,ENSMUSG00000028439,41517691,41569538,4,protein_coding,Fam219a
7905,ENSG00000178761,74899992,74906883,15,protein_coding,FAM219B,ENSMUSG00000032305,57444811,57450467,9,protein_coding,Fam219b
12058,ENSG00000188732,23680130,23703249,7,protein_coding,FAM221A,ENSMUSG00000047115,49344673,49367473,6,protein_coding,Fam221a
11419,ENSG00000204930,35816391,35828747,9,protein_coding,FAM221B,ENSMUSG00000043633,43659622,43669145,4,protein_coding,Fam221b
11005,ENSG00000139438,109713825,109770495,12,protein_coding,FAM222A,ENSMUSG00000041930,114706077,114751281,5,protein_coding,Fam222a
9628,ENSG00000173065,28755980,28855232,17,protein_coding,FAM222B,ENSMUSG00000037750,77985486,78047526,11,protein_coding,Fam222b
11196,ENSG00000184949,38578118,38656629,22,protein_coding,FAM227A,ENSMUSG00000042564,79493777,79543157,15,protein_coding,Fam227a
5322,ENSG00000166262,49326962,49620929,15,protein_coding,FAM227B,ENSMUSG00000027209,125825403,125993924,2,protein_coding,Fam227b
15270,ENSG00000186453,24175053,24200849,2,protein_coding,FAM228A,ENSMUSG00000079177,4763670,4788430,12,protein_coding,Fam228a
12688,ENSG00000219626,24076526,24169640,2,protein_coding,FAM228B,ENSMUSG00000050545,4789888,4819267,12,protein_coding,Fam228b
15195,ENSG00000225828,32361270,32364278,1,protein_coding,FAM229A,ENSMUSG00000078554,129384983,129385749,4,protein_coding,Fam229a
12906,ENSG00000203778,112087591,112102790,6,protein_coding,FAM229B,ENSMUSG00000051736,38994800,39009910,10,protein_coding,Fam229b
3870,ENSG00000167930,234521,272183,16,protein_coding,FAM234A,ENSMUSG00000024187,26430796,26463216,17,protein_coding,Fam234a
6868,ENSG00000084444,13044381,13142521,12,protein_coding,FAM234B,ENSMUSG00000030207,135174975,135221953,6,protein_coding,Fam234b
15575,ENSG00000283473,46612525,46626543,3,protein_coding,FAM240A,ENSMUSG00000096393,110743807,110745929,9,protein_coding,Fam240a
15578,ENSG00000283329,38694266,38720133,9,protein_coding,FAM240B,ENSMUSG00000096537,64629060,64645606,13,protein_coding,Fam240b
12689,ENSG00000174749,112145454,112195256,4,protein_coding,FAM241A,ENSMUSG00000050549,127662707,127689973,3,protein_coding,Fam241a
11429,ENSG00000188100,87020294,87024730,10,protein_coding,FAM25A,ENSMUSG00000043681,34073838,34077390,14,protein_coding,Fam25c
470,ENSG00000105058,16185380,16192046,19,protein_coding,FAM32A,ENSMUSG00000003039,72973574,72978262,8,protein_coding,Fam32a
7413,ENSG00000071889,154506159,154516242,X,protein_coding,FAM3A,ENSMUSG00000031399,73428325,73436878,X,protein_coding,Fam3a
3547,ENSG00000183844,41304212,41357727,21,protein_coding,FAM3B,ENSMUSG00000022938,97272165,97316016,16,protein_coding,Fam3b
6660,ENSG00000196937,121348878,121396364,7,protein_coding,FAM3C,ENSMUSG00000029672,22306519,22356242,6,protein_coding,Fam3c
2926,ENSG00000198643,58633946,58666834,3,protein_coding,FAM3D,ENSMUSG00000021749,14091019,14120836,14,protein_coding,Fam3d
11941,ENSG00000185112,194685883,194689037,3,protein_coding,FAM43A,ENSMUSG00000046546,30418541,30421615,16,protein_coding,Fam43a
15172,ENSG00000183114,20552573,20555020,1,protein_coding,FAM43B,ENSMUSG00000078235,138121403,138123839,4,protein_coding,Fam43b
13581,ENSG00000189157,76214040,76283783,4,protein_coding,FAM47E,ENSMUSG00000057068,92702928,92739138,5,protein_coding,Fam47e
306,ENSG00000071859,154444141,154450654,X,protein_coding,FAM50A,ENSMUSG00000001962,73356639,73363755,X,protein_coding,Fam50a
9816,ENSG00000145945,3849373,3851320,6,protein_coding,FAM50B,ENSMUSG00000038246,34918833,34931606,13,protein_coding,Fam50b
9496,ENSG00000174137,1617915,1684313,4,protein_coding,FAM53A,ENSMUSG00000037339,33757691,33786979,5,protein_coding,Fam53a
7218,ENSG00000189319,124619292,124744378,10,protein_coding,FAM53B,ENSMUSG00000030956,132313811,132415615,7,protein_coding,Fam53b
